ISBN10,ISBN13,Title,Author,Cover,Publisher,Pages
689821166,9.78E+12,Flood : Mississippi 1927,"Kathleen Duey,Karen A. Bale,Bill Dodge",http://www.openisbn.com/cover/0689821166_72.jpg,Aladdin,176
971880107,9.78E+12,Wild Animus: A Novel,Rich Shapero,http://www.openisbn.com/cover/0971880107_72.jpg,Too Far Pub,315
345402871,9.78E+12,Airframe,Michael Crichton,http://www.openisbn.com/cover/0345402871_72.jpg,Ballantine Books,448
345417623,9.78E+12,Timeline,Michael Crichton,http://www.openisbn.com/cover/0345417623_72.jpg,Ballantine Books,512
684823802,9.78E+12,Out Of The Silent Planet,C.S. Lewis,http://www.openisbn.com/cover/0684823802_72.jpg,Scribner,160
375759778,9.78E+12,Prague: A Novel,Arthur Phillips,http://www.openisbn.com/cover/0375759778_72.jpg,Random House Trade Paperbacks,400
425163091,9.78E+12,Chocolate Jesus,Stephen Jaramillo,http://www.openisbn.com/cover/0425163091_72.jpg,Berkley Trade,249
3404921038,9.78E+12,Wie Barney Es Sieht. Roman,"Mordecai Richler,Michael Panofsky,Anette Grube",http://www.openisbn.com/cover/3404921038_72.jpg,Bastei Lübbe,574
3442353866,9.78E+12,Der Fluch Der Kaiserin,"Eleanor Cooney,Daniel Altieri",http://www.openisbn.com/cover/3442353866_72.jpg,Blanvalet,0
3442410665,9.78E+12,Die Sturmzeit-Trilogie: Sturmzeit: Roman: BD 1,Charlotte Link,http://www.openisbn.com/cover/3442410665_72.jpg,Goldmann Verlag,544
3442446937,9.78E+12,Tage Der Unschuld,"Richard North Patterson,Kristian Lutze",http://www.openisbn.com/cover/3442446937_72.jpg,Goldmann,575
375406328,9.78E+12,Lying Awake,Mark Salzman,http://www.openisbn.com/cover/0375406328_72.jpg,Alfred A. Knopf,181
446310786,9.78E+12,To Kill A Mockingbird,Harper Lee,http://www.openisbn.com/cover/0446310786_72.jpg,Grand Central Publishing,281
449005615,9.78E+12,Seabiscuit: An American Legend,Laura Hillenbrand,http://www.openisbn.com/cover/0449005615_72.jpg,Ballantine Books,399
60168013,9.78E+12,Pigs In Heaven,Barbara Kingsolver,http://www.openisbn.com/cover/0060168013_72.jpg,HarperCollins Publishers,288
038078243X,9.78E+12,Miss Zukas And The Raven's Dance (Miss Zukas Mysteries),Jo Dereske,http://www.openisbn.com/cover/038078243X_72.jpg,Avon,256
055321215X,9.78E+12,Pride And Prejudice,Jane Austen,http://www.openisbn.com/cover/055321215X_72.jpg,Bantam Classics,0
067176537X,9.78E+12,The Therapeutic Touch: How To Use Your Hands To Help Or To Heal,Dolores Krieger,http://www.openisbn.com/cover/067176537X_72.jpg,Touchstone,168
61099686,9.78E+12,Downtown,Anne Rivers Siddons,http://www.openisbn.com/cover/0061099686_72.jpg,HarperTorch,512
553582909,9.78E+12,Icebound,Dean Koontz,http://www.openisbn.com/cover/0553582909_72.jpg,Bantam,416
671888587,9.78E+12,I'll Be Seeing You,Mary Higgins Clark,http://www.openisbn.com/cover/0671888587_72.jpg,Pocket Books,320
553582747,9.78E+12,From The Corner Of His Eye,Dean Koontz,http://www.openisbn.com/cover/0553582747_72.jpg,Bantam,768
425182908,9.78E+12,Isle Of Dogs (Andy Brazil),Patricia Cornwell,http://www.openisbn.com/cover/0425182908_72.jpg,Berkley,432
042518630X,9.78E+12,Purity In Death,J.D. Robb,http://www.openisbn.com/cover/042518630X_72.jpg,Berkley,368
440223571,9.78E+12,This Year It Will Be Different And Other Stories - A Christmas Treasury,Maeve Binchy,http://www.openisbn.com/cover/0440223571_72.jpg,Dell,0
812523873,9.78E+12,Proxies,Laura J. Mixon,http://www.openisbn.com/cover/0812523873_72.jpg,Tor Books,480
842342702,9.78E+12,Left Behind: A Novel Of The Earth's Last Days (Left Behind #1),"Tim LaHaye,Jerry B. Jenkins",http://www.openisbn.com/cover/0842342702_72.jpg,Living Books,352
440225701,9.78E+12,The Street Lawyer,John Grisham,http://www.openisbn.com/cover/0440225701_72.jpg,Dell,464
60914068,9.78E+12,"Love, Medicine And Miracles",Bernie S. Siegel M.D.,http://www.openisbn.com/cover/0060914068_72.jpg,HarperCollins Publishers,0
156047624,9.78E+12,All The King's Men,Robert Penn Warren,http://www.openisbn.com/cover/0156047624_72.jpg,Harcourt,438
245542957,9.78E+12,Pacific Northwest,Hans Johannes Hoefer,http://www.openisbn.com/cover/0245542957_72.jpg,Chambers,0
380715899,9.78E+12,Soldier Of The Great War,Mark Helprin,http://www.openisbn.com/cover/0380715899_72.jpg,Avon Books,736
553280333,9.78E+12,Getting Well Again: The Bestselling Classic About The Simontons' Revolutionary Lifesaving Self- Awareness Techniques,"O. Carl Simonton M.D.,James Creighton Ph.D.,Stepha",http://www.openisbn.com/cover/0553280333_72.jpg,Bantam,304
961769947,9.78E+12,Northwest Wines And Wineries,Chuck Hill,http://www.openisbn.com/cover/0961769947_72.jpg,Speed Graphics,236
964778319,9.78E+12,An Atmosphere Of Eternity: Stories Of India,David Iglehart,http://www.openisbn.com/cover/0964778319_72.jpg,Sunflower Pub Co,157
671623249,9.78E+12,Lonesome Dove,Larry McMurtry,http://www.openisbn.com/cover/0671623249_72.jpg,Pocket Books,945
679810307,9.78E+12,Shabanu: Daughter Of The Wind (Border Trilogy),Suzanne Fisher Staples,http://www.openisbn.com/cover/0679810307_72.jpg,Laurel Leaf,256
679865691,9.78E+12,Haveli,Suzanne Fisher Staples,http://www.openisbn.com/cover/0679865691_72.jpg,Laurel Leaf,336
2070423204,9.78E+12,Lieux Dits,Michel Tournier,http://www.openisbn.com/cover/2070423204_72.jpg,Gallimard,125
345260317,9.78E+12,The Dragons Of Eden: Speculations On The Evolution Of Human Intelligence,Carl Sagan,http://www.openisbn.com/cover/0345260317_72.jpg,Ballantine Books,0
394743741,9.78E+12,The Yawning Heights,Aleksandr Zinoviev,http://www.openisbn.com/cover/0394743741_72.jpg,Random House,828
042511774X,9.78E+12,Breathing Lessons,Anne Tyler,http://www.openisbn.com/cover/042511774X_72.jpg,Berkley,352
804106304,9.78E+12,The Joy Luck Club,Amy Tan,http://www.openisbn.com/cover/0804106304_72.jpg,Ballantine Books,352
1853262404,9.78E+12,Heart Of Darkness &amp; Other Stories (Wordsworth Collection),Joseph Conrad,http://www.openisbn.com/cover/1853262404_72.jpg,Wordsworth Editions Ltd,240
312970242,9.78E+12,Deepak Chopra's The Angel Is Near,"Deepak Chopra,Martin Greenberg",http://www.openisbn.com/cover/0312970242_72.jpg,St. Martin's Paperbacks,340
1853260053,9.78E+12,Tess Of The D'Urbervilles (Wadsworth Collection),Thomas Hardy,http://www.openisbn.com/cover/1853260053_72.jpg,Wordsworth Edition Ltd,384
1414035004,9.78E+12,The Adventures Of Drew And Ellie: The Magical Dress,"Charles Noland,Sherri Baker",http://www.openisbn.com/cover/1414035004_72.jpg,Authorhouse,76
60938412,9.78E+12,The Accidental Virgin,Valerie Frankel,http://www.openisbn.com/cover/0060938412_72.jpg,William Morrow Paperbacks,277
140067477,9.78E+12,The Tao Of Pooh,Benjamin Hoff,http://www.openisbn.com/cover/0140067477_72.jpg,Penguin (Non-Classics),176
345465083,9.78E+12,Seabiscuit: An American Legend,Laura Hillenbrand,http://www.openisbn.com/cover/0345465083_72.jpg,Ballantine Books,453
451625889,9.78E+12,The Prince (Mentor Series),Niccolo Machiavelli,http://www.openisbn.com/cover/0451625889_72.jpg,Signet,0
1558531025,9.78E+12,"Life's Little Instruction Book:  511 Suggestions, Observations, And Reminders On How To Live A Happy And Rewarding Life",H. Jackson Brown Jr.,http://www.openisbn.com/cover/1558531025_72.jpg,Rutledge Hill Press,160
441783589,9.78E+12,Starship Troopers,Robert A. Heinlein,http://www.openisbn.com/cover/0441783589_72.jpg,Ace,263
394895894,9.78E+12,"The Ruby In The Smoke (Sally Lockhart Trilogy, Book 1)",Philip Pullman,http://www.openisbn.com/cover/0394895894_72.jpg,Laurel Leaf,230
1569871213,9.78E+12,Black Beauty (Illustrated Classics),,http://www.openisbn.com/cover/1569871213_72.jpg,Landoll,240
375410538,9.78E+12,Anil's Ghost,Michael Ondaatje,http://www.openisbn.com/cover/0375410538_72.jpg,Knopf,311
966986105,9.78E+12,Prescription For Terror,Sandra Levy Ceren,http://www.openisbn.com/cover/0966986105_72.jpg,Andrew Scott Pub,240
087113375X,9.78E+12,Modern Manners: An Etiquette Book For Rude People,P. J. O'Rourke,http://www.openisbn.com/cover/087113375X_72.jpg,Atlantic Monthly Press,280
340767936,9.78E+12,Turning Thirty,Mike Gayle,http://www.openisbn.com/cover/0340767936_72.jpg,Flame,384
743403843,9.78E+12,Decipher,Stel Pavlou,http://www.openisbn.com/cover/0743403843_72.jpg,Simon &amp; Schuster,816
60930365,9.78E+12,"My First Cousin Once Removed: Money, Madness, And The Family Of Robert Lowell",Sarah Payne Stuart,http://www.openisbn.com/cover/0060930365_72.jpg,Harper Perennial,256
60177586,9.78E+12,Standing Firm: Dan Quayle,Dan Quayle,http://www.openisbn.com/cover/0060177586_72.jpg,HarperCollins,402
71416331,9.78E+12,Team Bush : Leadership Lessons From The Bush White House,"Donald F. Kettl,Donald Kettl",http://www.openisbn.com/cover/0071416331_72.jpg,McGraw-Hill,224
375509038,9.78E+12,"The Right Man: The Surprise Presidency Of George W. Bush, An Inside Account",David Frum,http://www.openisbn.com/cover/0375509038_72.jpg,Random House,320
553062042,9.78E+12,The Daybreakers (The Louis L'Amour Collection),Louis L'Amour,http://www.openisbn.com/cover/0553062042_72.jpg,Bantam Doubleday Dell,198
316769487,9.78E+12,The Catcher In The Rye,J.D. Salinger,http://www.openisbn.com/cover/0316769487_72.jpg,"Little, Brown And Company",224
679429220,9.78E+12,Midnight In The Garden Of Good And Evil,John Berendt,http://www.openisbn.com/cover/0679429220_72.jpg,Random House,388
671867156,9.78E+12,Pretend You Don't See Her,Mary Higgins Clark,http://www.openisbn.com/cover/0671867156_72.jpg,Pocket Books,320
312252617,9.78E+12,Fast Women,Jennifer Crusie,http://www.openisbn.com/cover/0312252617_72.jpg,St. Martin's Press,352
312261594,9.78E+12,Female Intelligence,Jane Heller,http://www.openisbn.com/cover/0312261594_72.jpg,St. Martin's Press,336
316748641,9.78E+12,Pasquale's Nose: Idle Days In An Italian Town,Michael Rips,http://www.openisbn.com/cover/0316748641_72.jpg,Back Bay Books,224
316973742,9.78E+12,The Gospel Of Judas: A Novel,Simon Mawer,http://www.openisbn.com/cover/0316973742_72.jpg,Back Bay Books,352
385235941,9.78E+12,Prize Stories 1987: The O. Henry Awards,William Abrahams,http://www.openisbn.com/cover/0385235941_72.jpg,Doubleday,320
446677450,9.78E+12,"Rich Dad, Poor Dad: What The Rich Teach Their Kids About Money--That The Poor And Middle Class Do Not!","Robert T. Kiyosaki,Sharon L. Lechter",http://www.openisbn.com/cover/0446677450_72.jpg,Business Plus,207
451166892,9.78E+12,The Pillars Of The Earth,Ken Follett,http://www.openisbn.com/cover/0451166892_72.jpg,Signet,983
553347594,9.78E+12,McDonald's: Behind The Arches,John F. Love,http://www.openisbn.com/cover/0553347594_72.jpg,Bantam,496
671621009,9.78E+12,Creating Wealth: Retire In Ten Years Using Allen's Seven Principles Of Wealth!,Robert G. Allen,http://www.openisbn.com/cover/0671621009_72.jpg,Fireside,304
067976397X,9.78E+12,Corelli's Mandolin: A Novel,Louis De Bernieres,http://www.openisbn.com/cover/067976397X_72.jpg,Vintage,437
684822733,9.78E+12,"Love, Miracles, And Animal Healing: A Heartwarming Look At The Spiritual Bond Between Animals And Humans","Pam Proctor,Allen M. Schoen",http://www.openisbn.com/cover/0684822733_72.jpg,Fireside,240
786868716,9.78E+12,The Five People You Meet In Heaven,Mitch Albom,http://www.openisbn.com/cover/0786868716_72.jpg,Hyperion,198
671864769,9.78E+12,Relics (Star Trek: The Next Generation),"Michael Jan Friedman,Ronald D. Moore",http://www.openisbn.com/cover/0671864769_72.jpg,Star Trek,239
671521519,9.78E+12,Bless The Beasts And Children,Glendon Swarthout,http://www.openisbn.com/cover/0671521519_72.jpg,Pocket,224
440222303,9.78E+12,"The Touch Of Your Shadow, The Whisper Of Your Name (Babylon 5, Book 5)","Neal Barrett Jr.,J. Michael Straczynski",http://www.openisbn.com/cover/0440222303_72.jpg,Dell,256
312953453,9.78E+12,Blood Oath,David Morrell,http://www.openisbn.com/cover/0312953453_72.jpg,St. Martin's Paperbacks,296
446608653,9.78E+12,The Alibi,Sandra Brown,http://www.openisbn.com/cover/0446608653_72.jpg,Grand Central Publishing,592
446612545,9.78E+12,The Beach House,"James Patterson,Peter De Jonge",http://www.openisbn.com/cover/0446612545_72.jpg,Grand Central Publishing,384
446612618,9.78E+12,A Kiss Remembered,Sandra Brown,http://www.openisbn.com/cover/0446612618_72.jpg,Grand Central Publishing,224
451208080,9.78E+12,The Short Forever (Stone Barrington),Stuart Woods,http://www.openisbn.com/cover/0451208080_72.jpg,Signet,432
553584383,9.78E+12,Dead Aim,Iris Johansen,http://www.openisbn.com/cover/0553584383_72.jpg,Bantam,368
671027360,9.78E+12,Angels &amp; Demons,Dan Brown,http://www.openisbn.com/cover/0671027360_72.jpg,Pocket Star,608
812575954,9.78E+12,The Deal,Joe Hutsko,http://www.openisbn.com/cover/0812575954_72.jpg,Forge,320
316735736,9.78E+12,All He Ever Wanted: A Novel,Anita Shreve,http://www.openisbn.com/cover/0316735736_72.jpg,Back Bay Books,352
743439740,9.78E+12,"Every Breath You Take : A True Story Of Obsession, Revenge, And Murder",Ann Rule,http://www.openisbn.com/cover/0743439740_72.jpg,Pocket Books,704
345372700,9.78E+12,"If I Ever Get Back To Georgia, I'm Gonna Nail My Feet To The Ground",Lewis Grizzard,http://www.openisbn.com/cover/0345372700_72.jpg,Ballantine Books,0
380619458,9.78E+12,The Mosquito Coast,Paul Theroux,http://www.openisbn.com/cover/0380619458_72.jpg,Avon Books (Mm),370
446325805,9.78E+12,"If Love Were Oil, I'd Be About A Quart Low",Lewis Grizzard,http://www.openisbn.com/cover/0446325805_72.jpg,Warner Books,279
451406923,9.78E+12,"Good-Bye, My Little Ones: The True Story Of A Murderous Mother And Five Innocent Victims","Charles Hickey,Todd Lighty,John O'Brien",http://www.openisbn.com/cover/0451406923_72.jpg,Onyx,384
671042858,9.78E+12,The Girl Who Loved Tom Gordon,Stephen King,http://www.openisbn.com/cover/0671042858_72.jpg,Pocket Books,272
743249992,9.78E+12,Bringing Down The House: The Inside Story Of Six M.I.T. Students Who Took Vegas For Millions,Ben Mezrich,http://www.openisbn.com/cover/0743249992_72.jpg,Free Press,257
840734530,9.78E+12,"The Oneprince (The Redaemian Chronicles, Book 1)",Bill Hand,http://www.openisbn.com/cover/0840734530_72.jpg,Thomas Nelson Inc,300
425184226,9.78E+12,The Sum Of All Fears,Tom Clancy,http://www.openisbn.com/cover/0425184226_72.jpg,Berkley,928
375500766,9.78E+12,Care Packages: Letters To Christopher Reeve From Strangers And Other Friends,Dana Reeve,http://www.openisbn.com/cover/0375500766_72.jpg,Random House,192
9724119378,9.79E+12,O Deus Das Pequenas Coisas (Spanish Edition),Roy,http://www.openisbn.com/cover/9724119378_72.jpg,Edicoes Asa,0
451205197,9.78E+12,Lady In Green And Minor Indiscretions (Signet Regency Romance),Barbara Metzger,http://www.openisbn.com/cover/0451205197_72.jpg,Signet,480
60929790,9.78E+12,One Hundred Years Of Solitude,Gabriel Garcia Marquez,http://www.openisbn.com/cover/0060929790_72.jpg,Perennial,464
60976845,9.78E+12,Little Altars Everywhere,Rebecca Wells,http://www.openisbn.com/cover/0060976845_72.jpg,Harper Paperbacks,240
61099325,9.78E+12,COYOTE WAITS                MM (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,http://www.openisbn.com/cover/0061099325_72.jpg,HarperTorch,368
671004573,9.78E+12,Before I Say Good-Bye,Mary Higgins Clark,http://www.openisbn.com/cover/0671004573_72.jpg,Pocket Books,416
446601640,9.78E+12,Slow Waltz In Cedar Bend,Robert James Waller,http://www.openisbn.com/cover/0446601640_72.jpg,"Warner Books, Inc.",227
330484516,9.78E+12,Twenty Minute Retreats (A Pan Self-Discovery Title),Rachel Harris,http://www.openisbn.com/cover/0330484516_72.jpg,Pan Macmillan,256
038572179X,9.78E+12,Atonement: A Novel,Ian McEwan,http://www.openisbn.com/cover/038572179X_72.jpg,Anchor,368
393020371,9.78E+12,Next: The Future Just Happened,Michael Lewis,http://www.openisbn.com/cover/0393020371_72.jpg,W. W. Norton &amp; Company,192
1900850303,9.78E+12,Angelic Darkness,Richard Zimler,http://www.openisbn.com/cover/1900850303_72.jpg,Arcadia Books,247
1903019699,9.78E+12,The Soulbane Stratagem: Diabolical Subterfuge Which Threatens To Destroy Us...,Norman Jetmundsen,http://www.openisbn.com/cover/1903019699_72.jpg,John Hunt Pub,290
345425294,9.78E+12,Gangster,Lorenzo Carcaterra,http://www.openisbn.com/cover/0345425294_72.jpg,Fawcett,416
451410319,9.78E+12,Hush,Anne Frasier,http://www.openisbn.com/cover/0451410319_72.jpg,Onyx,384
553583468,9.78E+12,Whisper Of Evil (Evil Trilogy),Kay Hooper,http://www.openisbn.com/cover/0553583468_72.jpg,Bantam,416
380778556,9.78E+12,Rebecca,Daphne Du Maurier,http://www.openisbn.com/cover/0380778556_72.jpg,Avon,384
451525221,9.78E+12,The Scarlet Letter (Signet Classics),"Nathaniel Hawthorne,Leo Marx",http://www.openisbn.com/cover/0451525221_72.jpg,Signet Classics,256
2740230,9.78E+12,Keep It Simple: And Get More Out Of Life,Nick Page,http://www.openisbn.com/cover/0002740230_72.jpg,HarperCollins UK,96
385336772,9.78E+12,Diary Of A Mad Mom-to-Be,Laura Wolf,http://www.openisbn.com/cover/0385336772_72.jpg,Delta,321
440949424,9.78E+12,Locked In Time,Lois Duncan,http://www.openisbn.com/cover/0440949424_72.jpg,Laurel Leaf,210
505524996,9.78E+12,Contact,Susan Grant,http://www.openisbn.com/cover/0505524996_72.jpg,Love Spell,384
140252800,9.78E+12,Brimstone Wedding,Barbara Vine,http://www.openisbn.com/cover/0140252800_72.jpg,Penguin Books Ltd,320
451452755,9.78E+12,The Catswold Portal,Shirley Rousseau Murphy,http://www.openisbn.com/cover/0451452755_72.jpg,Roc,432
812575482,9.78E+12,"Through Wolf's Eyes (Wolf, Book 1)",Jane Lindskold,http://www.openisbn.com/cover/0812575482_72.jpg,Tor Fantasy,608
044651747X,9.78E+12,Puerto Vallarta Squeeze,Robert James Waller,http://www.openisbn.com/cover/044651747X_72.jpg,Grand Central Publishing,224
60801263,9.78E+12,A Tree Grows In Brooklyn,Betty Smith,http://www.openisbn.com/cover/0060801263_72.jpg,Harpercollins Publisher,432
61030147,9.78E+12,Cybill Disobedience,"Cybill Shepherd,Aimee Lee Ball",http://www.openisbn.com/cover/0061030147_72.jpg,Avon,352
140250964,9.78E+12,Snow Angels: A Novel,Stewart O'Nan,http://www.openisbn.com/cover/0140250964_72.jpg,Penguin Books,320
446527165,9.78E+12,Wish You Well,David Baldacci,http://www.openisbn.com/cover/0446527165_72.jpg,Warner Books,400
671461494,9.78E+12,The Hitchhiker's Guide To The Galaxy,Douglas Adams,http://www.openisbn.com/cover/0671461494_72.jpg,Pocket,0
385337639,9.78E+12,Crow Lake (Today Show Book Club #7),Mary Lawson,http://www.openisbn.com/cover/0385337639_72.jpg,Dial Press Trade Paperback,320
039575514X,9.78E+12,My Antonia,Willa Cather,http://www.openisbn.com/cover/039575514X_72.jpg,Mariner Books,272
451206673,9.78E+12,Pen Pals,Olivia Goldsmith,http://www.openisbn.com/cover/0451206673_72.jpg,Signet,432
330332775,9.78E+12,Bridget Jones's Diary,Helen Fielding,http://www.openisbn.com/cover/0330332775_72.jpg,Picador,320
486284735,9.78E+12,Pride And Prejudice (Dover Thrift Editions),"Jane Austen,Dover Thrift Editions",http://www.openisbn.com/cover/0486284735_72.jpg,Dover Publications,272
671021745,9.78E+12,Eye On Crime: Hardy Boys #153,Franklin W. Dixon,http://www.openisbn.com/cover/0671021745_72.jpg,Aladdin,160
671047612,9.78E+12,Skin And Bones,Franklin W. Dixon,http://www.openisbn.com/cover/0671047612_72.jpg,Aladdin,160
671504282,9.78E+12,"LAW OF THE JUNGLE (HARDY BOYS CASE FILE 105) (Hardy Boys, The)",Franklin W. Dixon,http://www.openisbn.com/cover/0671504282_72.jpg,Simon Pulse,160
399138684,9.78E+12,The Cat Who Came To Breakfast,Lilian Jackson Braun,http://www.openisbn.com/cover/0399138684_72.jpg,Putnam,254
785263292,9.78E+12,"If Singleness Is A Gift, What's The Return Policy?","Holly Virden,Michelle McKinney Hammond",http://www.openisbn.com/cover/0785263292_72.jpg,Thomas Nelson,224
830714014,9.78E+12,Always Daddy's Girl: Understanding Your Father's Impact On Who You Are,H. Norman Wright,http://www.openisbn.com/cover/0830714014_72.jpg,Regal Books,284
345354931,9.78E+12,"Night Mare (The Magic Of Xanth, No. 6)",Piers Anthony,http://www.openisbn.com/cover/0345354931_72.jpg,Del Rey,320
553278223,9.78E+12,The Martian Chronicles (The Grand Master Editions),Ray Bradbury,http://www.openisbn.com/cover/0553278223_72.jpg,Spectra,192
3150000335,9.78E+12,Kabale Und Liebe,"Friedrich Schiller,Walter Schafarschik",http://www.openisbn.com/cover/3150000335_72.jpg,"Reclam, Philipp, Jun. GmbH, Verlag",128
3257203659,9.78E+12,Der Illustrierte Mann,"Ray Bradbury,Peter Naujack",http://www.openisbn.com/cover/3257203659_72.jpg,Diogenes,320
3257207522,9.78E+12,Der König In Gelb: Stories,"Raymond Chandler,Hans Wollschläger",http://www.openisbn.com/cover/3257207522_72.jpg,Diogenes Verlag,352
3257208626,9.78E+12,Fahrenheit 451,Ray Bradbury,http://www.openisbn.com/cover/3257208626_72.jpg,Diogenes Verlag,175
3257208634,9.78E+12,Die Mars-Chroniken: Roman In Erzählungen,"Ray Bradbury,Thomas Schlück",http://www.openisbn.com/cover/3257208634_72.jpg,Diogenes Verlag,272
3257208669,9.78E+12,Das Böse Kommt Auf Leisen Sohlen,"Ray Bradbury,Norbert Wölfl",http://www.openisbn.com/cover/3257208669_72.jpg,Diogenes,272
3257210450,9.78E+12,Löwenzahnwein,"Ray Bradbury,Alexander Schmitz",http://www.openisbn.com/cover/3257210450_72.jpg,Diogenes,279
3257212054,9.78E+12,Das Kind Von Morgen. Erzählungen.,Ray Bradbury,http://www.openisbn.com/cover/3257212054_72.jpg,Diogenes Verlag,367
3257212429,9.78E+12,Die Mechanismen Der Freude. Erzählungen.,Ray Bradbury,http://www.openisbn.com/cover/3257212429_72.jpg,Diogenes Verlag,317
3257214154,9.78E+12,Familientreffen - Erzählungen,"Ray Bradbury,Jürgen Bauer,Alastair Ker",http://www.openisbn.com/cover/3257214154_72.jpg,Diogenes,225
3257216416,9.78E+12,Der Tod Kommt Schnell In Mexico. Erzählungen.,Ray Bradbury,http://www.openisbn.com/cover/3257216416_72.jpg,Diogenes Verlag,0
3257233051,9.78E+12,Veronika Beschließt Zu Sterben,"Paulo Coelho,Maralde Meyer-Minnemann",http://www.openisbn.com/cover/3257233051_72.jpg,Diogenes Verlag,223
342311360X,9.78E+12,Die Liebe In Den Zeiten Der Cholera. Roman.,Gabriel García Márquez,http://www.openisbn.com/cover/342311360X_72.jpg,Dtv,503
3423116714,9.78E+12,Die Klone Der Joanna May. Roman.,Fay Weldon,http://www.openisbn.com/cover/3423116714_72.jpg,Dtv,323
3423241489,9.78E+12,Ist Mein Hintern Wirklich So Dick?,Arabella Weir,http://www.openisbn.com/cover/3423241489_72.jpg,Dtv,240
3426605686,9.78E+12,Haifischfrauen,"Kiana Davenport,Margarete Längsfeld",http://www.openisbn.com/cover/3426605686_72.jpg,Droemer Knaur,672
